1	X	5
2	X	8
3	X	5
4	X	4
5	X	7
6	X	4
7	X	1
8	X	10
9	X	4
10	X	5
11	X	8
12	X	8
13	X	9
14	X	8
15	X	7
16	X	10
17	X	0
18	X	6
19	X	9
20	X	5
21	X	37
22	X	36
23	X	39
24	X	36
25	X	32
26	X	30
27	X	36
28	X	32
29	X	30
30	X	40
31	X	36
32	X	30
33	X	38
34	X	34
35	X	30
36	X	35
37	X	38
38	X	39
39	X	36
40	X	38
41	X	72
42	X	78
43	X	77
44	X	82
45	X	84
46	X	73
47	X	77
48	X	85
49	X	90
50	X	83
51	X	80
52	X	73
53	X	76
54	X	88
55	X	70
56	X	77
57	X	75
58	X	90
59	X	76
60	X	76
1	Y	9
2	Y	0
3	Y	0
4	Y	3
5	Y	0
6	Y	6
7	Y	2
8	Y	8
9	Y	6
10	Y	10
11	Y	9
12	Y	4
13	Y	1
14	Y	6
15	Y	9
16	Y	10
17	Y	3
18	Y	5
19	Y	6
20	Y	4
21	Y	36
22	Y	37
23	Y	35
24	Y	38
25	Y	34
26	Y	38
27	Y	35
28	Y	38
29	Y	35
30	Y	39
31	Y	39
32	Y	32
33	Y	33
34	Y	32
35	Y	40
36	Y	39
37	Y	31
38	Y	30
39	Y	37
40	Y	36
41	Y	88
42	Y	90
43	Y	81
44	Y	83
45	Y	74
46	Y	78
47	Y	87
48	Y	78
49	Y	70
50	Y	90
51	Y	85
52	Y	86
53	Y	89
54	Y	75
55	Y	82
56	Y	85
57	Y	79
58	Y	75
59	Y	74
60	Y	78
