1	x	1
2	x	2
3	x	3
4	x	4
5	x	5
6	x	6
7	x	7
8	x	8
9	x	9
10	x	10
13	x	13
14	x	14
15	x	15
16	x	16
17	x	17
18	x	18
19	x	19
20	x	20
21	x	21
22	x	22
35	x	35
36	x	36
37	x	37
38	x	38
39	x	39
40	x	40
41	x	41
42	x	42
43	x	43
44	x	44
45	x	45
46	x	46
47	x	47
48	x	48
49	x	49
111	x	111
112	x	112
113	x	113
114	x	114
115	x	115
116	x	116
117	x	117
118	x	118
119	x	119
120	x	120
121	x	121
122	x	122
123	x	123
124	x	124
125	x	125
126	x	126
127	x	127
128	x	128
129	x	129
130	x	130
131	x	131
132	x	132
133	x	133
134	x	134
135	x	135
1	y	1
2	y	2
3	y	3
4	y	4
5	y	5
6	y	6
7	y	7
8	y	8
9	y	9
10	y	10
13	y	13
14	y	14
15	y	15
16	y	16
17	y	17
18	y	18
19	y	19
20	y	20
21	y	21
22	y	22
35	y	35
36	y	36
37	y	37
38	y	38
39	y	39
40	y	40
41	y	41
42	y	42
43	y	43
44	y	44
45	y	45
46	y	46
47	y	47
48	y	48
49	y	49
111	y	111
112	y	112
113	y	113
114	y	114
115	y	115
116	y	116
117	y	117
118	y	118
119	y	119
120	y	120
121	y	121
122	y	122
123	y	123
124	y	124
125	y	125
126	y	126
127	y	127
128	y	128
129	y	129
130	y	130
131	y	131
132	y	132
133	y	133
134	y	134
135	y	135
